X	FUNKCJA INTERPOLOWANA	INTERPOLACJA Z WÊZ£AMI RÓWNOODLEG£YMI	INTERPOLACJA Z WÊZ£AMI CZEBYSZEWA
-1.0000000000000000	0.0909090909090909	0.0909090909090909	0.0910495375860850
-0.9900000000000000	0.0960171925096357	0.0335361256730389	0.0958750088023428
-0.9800000000000000	0.1014360935795428	0.0180841618784483	0.1013643652020164
-0.9700000000000000	0.1071843522331735	0.0257851240318989	0.1072497974465419
-0.9600000000000000	0.1132813566385379	0.0446975133321080	0.1134296052624687
-0.9500000000000000	0.1197473010127759	0.0676031586298785	0.1198961484161801
-0.9399999999999999	0.1266031469976065	0.0904655551187920	0.1266883565819596
-0.9299999999999999	0.1338705678008785	0.1113185535703341	0.1338620804436251
-0.9199999999999999	0.1415718722309992	0.1294811224495488	0.1414730593950362
-0.9099999999999999	0.1497299055083032	0.1450159862179021	0.1495684995655538
-0.8999999999999999	0.1583679235272972	0.1583679235272973	0.1581842439893969
-0.8899999999999999	0.1675094370864177	0.1701320576393077	0.1673453067950189
-0.8799999999999999	0.1771780225224884	0.1809141613329756	0.1770681744305029
-0.8699999999999999	0.1873970952155580	0.1912543191116575	0.1873637669595749
-0.8599999999999999	0.1981896426014390	0.2015926569408417	0.1982403346535902
-0.8499999999999999	0.2095779136839610	0.2122616167401919	0.2097058516956372
-0.8399999999999999	0.2215830626203306	0.2234937169792369	0.2217696826992966
-0.8299999999999998	0.2342247448066270	0.2354371518844065	0.2344434499917892
-0.8199999999999998	0.2475206650611255	0.2481741487760991	0.2477411349330343
-0.8099999999999998	0.2614860790308448	0.2617388994683324	0.2616785135214953
-0.7999999999999998	0.2761332508615360	0.2761332508615360	0.2762720653286456
-0.7899999999999998	0.2914708724868526	0.2913392995232561	0.2915375113404689
-0.7799999999999998	0.3075034525980895	0.3073286810694412	0.3074881375191111
-0.7699999999999998	0.3242306864085012	0.3240687550236671	0.3241330501924190
-0.7599999999999998	0.3416468206415532	0.3415261215928795	0.3414754926298342
-0.7499999999999998	0.3597400316177766	0.3596680176142941	0.3595113295525892
-0.7399999999999998	0.3784918377038564	0.3784621632643613	0.3782277833579662
-0.7299999999999998	0.3978765704795565	0.3978755986353756	0.3976024811233712
-0.7199999999999998	0.4178609314832979	0.4178729824402003	0.4176028492513771
-0.7099999999999997	0.4384036629898891	0.4384147405347200	0.4381858710326657
-0.6999999999999997	0.4594553616143430	0.4594553616143429	0.4592982045609588
-0.6899999999999997	0.4809584623015474	0.4809420496099738	0.4808766424839440
-0.6799999999999997	0.5028474171872068	0.5028138623582322	0.5028488829184861
-0.6699999999999997	0.5250490887361777	0.5250013972138809	0.5251345711760900
-0.6599999999999997	0.5474833694603396	0.5474270279114340	0.5476465653759099
-0.6499999999999997	0.5700640315516197	0.5700056534580231	0.5702923750205365
-0.6399999999999997	0.5926997993033897	0.5926458885918209	0.5929757200359880
-0.6299999999999997	0.6152956258068039	0.6152516052490499	0.6155981581376238
-0.6199999999999997	0.6377541438477544	0.6377237240909333	0.6380607306302131
